iter	Passed	Remaining
1378	206712	93088
1379	206885	92948
1380	207035	92798
1381	207221	92664
1382	207354	92507
1383	207509	92359
1384	207653	92206
1385	207792	92052
1386	207939	91901
1387	208106	91758
1388	208269	91614
1389	208432	91470
1390	208584	91321
1391	208737	91172
1392	208912	91033
1393	209064	90884
1394	209201	90729
1395	209353	90580
1396	209509	90432
1397	209666	90285
1398	209828	90140
1399	209987	89994
1400	210148	89849
1401	210289	89695
1402	210441	89546
1403	210590	89395
1404	210729	89241
1405	210876	89090
1406	211055	88952
1407	211241	88817
1408	211402	88672
1409	211555	88523
1410	211700	88370
1411	211863	88226
1412	212009	88074
1413	212163	87926
1414	212322	87779
1415	212504	87642
1416	212676	87502
1417	212837	87356
1418	212987	87206
1419	213143	87058
1420	213302	86912
1421	213459	86764
1422	213622	86619
1423	213762	86465
1424	213904	86312
1425	214052	86161
1426	214213	86015
1427	214369	85867
1428	214526	85720
1429	214688	85575
1430	214857	85432
1431	215013	85284
1432	215153	85130
1433	215316	84985
1434	215479	84840
1435	215627	84689
1436	215763	84533
1437	215910	84382
1438	216063	84233
1439	216233	84090
1440	216374	83937
1441	216527	83787
1442	216661	83631
1443	216827	83487
1444	216987	83341
1445	217131	83188
1446	217278	83037
1447	217418	82883
1448	217587	82740
1449	217732	82588
1450	217869	82433
1451	218031	82287
1452	218151	82125
1453	218302	81975
1454	218451	81825
1455	218604	81676
1456	218763	81529
1457	218929	81385
1458	219090	81239
1459	219260	81096
1460	219405	80944
1461	219563	80796
1462	219699	80641
1463	219842	80488
1464	219996	80339
1465	220143	80188
1466	220305	80042
1467	220474	79899
1468	220638	79754
1469	220801	79608
1470	220944	79455
1471	221097	79306
1472	221241	79154
1473	221403	79008
1474	221545	78855
1475	221658	78691
1476	221799	78538
1477	221954	78389
1478	222108	78241
1479	222264	78092
1480	222403	77938
1481	222562	77791
1482	222730	77647
1483	222888	77500
1484	223039	77350
1485	223190	77200
1486	223343	77051
1487	223494	76901
1488	223623	76743
1489	223773	76593
1490	223932	76446
1491	224081	76295
1492	224216	76140
1493	224373	75992
